"";"x"
"1";"A/KAE"
"2";"AABG"
"3";"AABGebV"
"4";"AAG"
"5";"AAppO"
"6";"AarhusÜbk"
"7";"AARKZustAnO"
"8";"AAÜG"
"9";"AAÜG-ÄndG"
"10";"AAÜGErstV"
"11";"AAustVorhAbk USA"
"12";"ABAG"
"13";"ABAMVerwV"
"14";"ABBergV"
"15";"ABBV"
"16";"AbfAEV"
"17";"AbfBeauftrV"
"18";"AbfKlärV"
"19";"AbfVerbrBußV"
"20";"AbfVerbrG"
"21";"AbgG"
"22";"AbgG10u11AbschnABestBek"
"23";"AbgrV"
"24";"Abk ISR"
"25";"AbLaV"
"26";"AbrStV"
"27";"AbschlagsV"
"28";"AbsFondsForstAuflG"
"29";"AbsFondsLwAuflG"
"30";"ABV"
"31";"AbwAG"
"32";"AbwasserMeistPrV"
"33";"AbwV"
"34";"ABZusForstAbk POL"
"35";"ABZusForstAbkPOLG"
"36";"ABZusForstAbkPOLProt"
"37";"ABZusGrBrückVtr CES"
"38";"ABZusGrBrückVtrCESG"
"39";"ABZusGrBrückVtrCESNotw"
"40";"ABZusPolAbkG"
"41";"AdenauerHStiftG"
"42";"AdG"
"43";"AdKG"
"44";"AdLDAV"
"45";"ADR"
"46";"ADRÄndProtG"
"47";"ADRG"
"48";"AdÜbAG"
"49";"AdVermiG"
"50";"AdVermiStAnKoV"
"51";"AdWirkG"
"52";"ÄApprO 2002"
"53";"ÄApprOÄndV 3"
"54";"ÄApprOÄndV 4"
"55";"ÄApprOÄndV 5"
"56";"ÄApprOÄndV 7"
"57";"ÄArbVtrG"
"58";"AEAusglV"
"59";"AEG"
"60";"AELV 2013"
"61";"AELV 2014"
"62";"AELV 2015"
"63";"AELV 2016"
"64";"AELV 2017"
"65";"AELV 2018"
"66";"AELV 2019"
"67";"AELV 2020"
"68";"AELV 2021"
"69";"AELV 2022"
"70";"AELV 2023"
"71";"ÄndSchnAusbV"
"72";"AEntG"
"73";"AEntGMeldStellV"
"74";"Ärzte-ZV"
"75";"AETR"
"76";"AFBG"
"77";"AFGBV"
"78";"AFG§116G"
"79";"AFIG"
"80";"AFIV"
"81";"Aflatoxin VerbotsV"
"82";"AfögLTAV"
"83";"AfögVorkHSV"
"84";"AfrEntwBkÜbk"
"85";"AfrEntwBkÜbkG"
"86";"AFRG"
"87";"AFSG"
"88";"AFSÜbk"
"89";"AFuG 1997"
"90";"AFuV"
"91";"AFVFinV"
"92";"AFWoG"
"93";"AG-KJHG"
"94";"AG-PStG Bbg"
"95";"AG-SGG"
"96";"AGB DDR"
"97";"AGebV"
"98";"AGeV"
"99";"AGG"
"100";"AGGrenzg NL"
"101";"AGMahnVordrV"
"102";"AGMahnVordrVÄndV"
"103";"AgNwV"
"104";"AGOZV"
"105";"AGR"
"106";"AgrarAbsFDG"
"107";"AgrarAusbStEignV"
"108";"AgrarAusbV"
"109";"AgrarErzAnpBeihV"
"110";"AgrarOLkG"
"111";"AgrarOLkV"
"112";"AgrarservMeistPrV"
"113";"AgrarZahlVerpflG"
"114";"AgrarZahlVerpflV"
"115";"AgrStatG"
"116";"AgrStatV"
"117";"AgrStruktGÄndG"
"118";"AHGV"
"119";"AHiVwVtr AUT"
"120";"AHiVwVtrAUTG"
"121";"AHStatDV"
"122";"AHStatG"
"123";"AHundV"
"124";"AIIBÜbkG"
"125";"AKG"
"126";"AkkStelleG"
"127";"AkkStelleGBV"
"128";"AkkStelleGebV"
"129";"AKNV"
"130";"AKP/EWGAbk4G"
"131";"AktFoV"
"132";"AktG"
"133";"AktGEG"
"134";"AktuarV"
"135";"ALBeitrBek 2012"
"136";"ALBeitrBek 2013"
"137";"ALBeitrBek 2014"
"138";"ALBeitrBek 2015"
"139";"ALBeitrBek 2016"
"140";"ALBeitrBek 2017"
"141";"ALBeitrBek 2018"
"142";"ALBeitrBek 2019"
"143";"ALBeitrBek 2020"
"144";"ALBeitrBek 2021"
"145";"ALBeitrBek 2022"
"146";"ALBeitrBek 2023"
"147";"ALFV"
"148";"ALG"
"149";"AlkopopStG"
"150";"AlkopopStV"
"151";"AlkoVerfrG"
"152";"AlkStG"
"153";"AlkStV"
"154";"AltersVersErhV"
"155";"AltersVersErhV 2"
"156";"AltfAbwG"
"157";"AltfahrzeugV"
"158";"AltgAATVDBest"
"159";"AltGG"
"160";"AltGZustAnO"
"161";"AltholzV"
"162";"AltLandPflSchV"
"163";"AltölV"
"164";"AltSchG"
"165";"AltTZG 1996"
"166";"AltvDV"
"167";"AltvPIBV"
"168";"AltZertG"
"169";"ALV"
"170";"AM-HandelsV"
"171";"AM-NutzenV"
"172";"AMAusbV 2004"
"173";"AMbG"
"174";"AMBtAngV"
"175";"AMFarbV"
"176";"AMG"
"177";"AMGBefugV"
"178";"AMGZSAV"
"179";"AMHV"
"180";"AMPreisV"
"181";"AMPV"
"182";"AMRabG"
"183";"AMRadV"
"184";"AMRNOG"
"185";"AMSachKV"
"186";"AMSachvV"
"187";"AmtsbezSaarAnO"
"188";"AmtsschErl"
"189";"AMV"
"190";"AMVerkRÄndV 3"
"191";"AMVerkRV"
"192";"AMVO"
"193";"AMVV"
"194";"AMWarnV"
"195";"AMWHV"
"196";"AnalgetikaWarnHV"
"197";"AnerkSparkAusbAufhV"
"198";"AnerkV"
"199";"AnfG"
"200";"AnFrV"
"201";"AnlBV"
"202";"AnlEntG"
"203";"AnlGBlnV"
"204";"AnlV"
"205";"AnpflEigentG"
"206";"AnpVfAussG 2020"
"207";"AnsprÜbersV"
"208";"AntarktMeerSchÜbkG"
"209";"AntarktUmwSchProtAG"
"210";"AntarktUmwSchProtAG§6Abs5V"
"211";"AntarktVtrG"
"212";"AntiDHG"
"213";"AntiDopG"
"214";"AnwZpvV"
"215";"AnzV"
"216";"AO"
"217";"APASGebV"
"218";"APAstErG"
"219";"ApBetrO"
"220";"ApoAnwRstG"
"221";"ApoG"
"222";"ArbGG"
"223";"ArblVAbk CHE"
"224";"ArblVAbkCHEG"
"225";"ArbMDFAngAusbV"
"226";"ArbMedVV"
"227";"ArbnErfG"
"228";"ArbnErfGDV 2"
"229";"ArbPlSchG"
"230";"ArbPlSchGAbschn3V"
"231";"ArbSchG"
"232";"ArbStättV"
"233";"ArbSV"
"234";"ArbZG"
"235";"ArbZRG"
"236";"ArbZustBauV"
"237";"ArbZVÄndV 8"
"238";"ArchLG"
"239";"ARegV"
"240";"ARG"
"241";"ARGEuaÄndG"
"242";"AromenDV"
"243";"ARSchiedsGAufhG"
"244";"Art115V"
"245";"Art17Abs1Nr2BIZIHECAbkErklBek"
"246";"ArtSchutzÜbk"
"247";"ARV"
"248";"ArznRAV"
"249";"ArznRAV 1993-11"
"250";"ArztWohnortG"
"251";"ASchulG"
"252";"AsEntwBkÜbk"
"253";"AsEntwBkÜbkG"
"254";"ASG"
"255";"ASGZustV"
"256";"ASiG"
"257";"ASLwApFG"
"258";"AsphAusbV"
"259";"ASRG 1995"
"260";"AssoziierungsAbkEG/ALBG"
"261";"AssoziierungsAbkEWG/TURG"
"262";"AStG"
"263";"AsylbLG"
"264";"AsylbLG§3aAbs4Bek"
"265";"AsylbLG§3aAbs4Bek 2022"
"266";"AsylbLG§3aAbs4Bek 2023"
"267";"AsylbLG§3Abs4Bek"
"268";"AsylG"
"269";"AsylVfGNG"
"270";"AsylZBV"
"271";"ATA-OTA-APrV"
"272";"ATA-OTA-G"
"273";"ATAÜbk"
"274";"ATAÜbkG"
"275";"AtAV"
"276";"AtDeckV"
"277";"ATDG"
"278";"ATDTeilnV"
"279";"AtEV"
"280";"AtG"
"281";"ATGV"
"282";"AtHaftAbk CHE"
"283";"AtHaftAbkCHEG"
"284";"AtHaftProtParis2004G"
"285";"AtHaftÜbk"
"286";"AtHaftÜbkG"
"287";"AtHaftÜbkZProt"
"288";"AtHaftÜbkZÜbk"
"289";"AtHaftÜbkZÜbkZProt"
"290";"ATP"
"291";"ATPÄnd 1995"
"292";"ATPAnl1/3ÄndG"
"293";"AtSchÜbkG"
"294";"AtSKostV"
"295";"AtSMV"
"296";"ATV"
"297";"AtVfV"
"298";"AtZüV"
"299";"ATZV"
"300";"AÜG"
"301";"AÜGMeldstellV"
"302";"AufbauhfV"
"303";"AufbhEG 2021"
"304";"AufbhG"
"305";"AufbhV"
"306";"AufbhV 2021"
"307";"AufenthG"
"308";"AufenthV"
"309";"AufgÜbertrV OFD Düsseld"
"310";"AufgÜbertrV OFD Karlsr"
"311";"AufhFG"
"312";"AufsRatAbkCHEG"
"313";"AufsRatVtr CHE"
"314";"AufwErstV"
"315";"AUG"
"316";"AUG2011UhBek"
"317";"AugenoptAusbV"
"318";"AugOptMstrV"
"319";"AUG§1Abs2Bek 02-1989"
"320";"AUG§1Abs2Bek 03-1988"
"321";"AUG§1Abs2Bek 07-1987"
"322";"AUG§1Abs2Bek 07-1988"
"323";"AUG§1Abs2Bek 09-1988"
"324";"AUG§1Abs2Bek 10"
"325";"AUG§1Abs2Bek 11"
"326";"AUG§1Abs2Bek 11-1987"
"327";"AUG§1Abs2Bek 12"
"328";"AUG§1Abs2Bek 13"
"329";"AUG§1Abs2Bek 14"
"330";"AUG§1Abs2Bek 15"
"331";"AUG§1Abs2Bek 16"
"332";"AUG§1Abs2Bek 17"
"333";"AUG§1Abs2Bek 18"
"334";"AUG§1Abs2Bek 19"
"335";"AUG§1Abs2Bek 20"
"336";"AUG§1Abs2Bek 21"
"337";"AUG§1Abs2Bek 22"
"338";"AUG§1Abs2Bek 7"
"339";"AUG§1Abs2Bek 8"
"340";"AUG§1Abs2Bek 9"
"341";"AujeszkKrV"
"342";"AuRAG"
"343";"AusbAnerkAufhV"
"344";"AusbBerAufhV"
"345";"AusbBerAufhV 2"
"346";"AusbBerAufhV 2001"
"347";"AusbBerAufhV 3"
"348";"AusbBerAufhV 4"
"349";"AusbBerAufhV 5"
"350";"AusbEignMedPharmV"
"351";"AusbEignV 2009"
"352";"AusbErstV"
"353";"AusfErstV 1996"
"354";"AusglFoG 1965"
"355";"AusglLeistG"
"356";"AusglV"
"357";"AusglVtr NLD"
"358";"AusglVtrNLDG"
"359";"AusglZAV"
"360";"AusglZSV"
"361";"AusgStG"
"362";"AuslAdMV"
"363";"AuslfVtr AUS"
"364";"AuslfVtr USA 1978"
"365";"AuslfVtr YUG"
"366";"AuslGrdBesStBefrV"
"367";"AuslInvG"
"368";"AuslPflKrGewQSG"
"369";"AuslPflVG"
"370";"AuslSchuldAbk"
"371";"AuslSchuldAbkAG"
"372";"AuslSchuldAbkAGErG 3"
"373";"AuslStreitkrNiederschr"
"374";"AuslStreitkrNotW"
"375";"AuslStreitkrNotWG"
"376";"AuslVerbindlG"
"377";"AuslVZV"
"378";"AuslWBEntschG"
"379";"AuslWBG"
"380";"AuslWBGDV 10"
"381";"AuslWBGDV 11"
"382";"AuslWBGDV 12"
"383";"AuslWBGDV 13"
"384";"AuslWBGDV 2"
"385";"AuslWBGDV 3"
"386";"AuslWBGDV 4"
"387";"AuslWBGDV 5"
"388";"AuslWBGDV 6"
"389";"AuslWBGDV 7"
"390";"AuslWBGDV 8"
"391";"AuslWBGDV 9"
"392";"AuslWoBauG"
"393";"AuslZuschlV"
"394";"AuslZustV"
"395";"AuswErlV"
"396";"AuswGebV"
"397";"AuswSG"
"398";"AutGAAPolAbkG"
"399";"AutobBrVtr BEL"
"400";"AutobBrVtrBELG"
"401";"AutoKflAusbV"
"402";"AutomAusbV"
"403";"AUV"
"404";"AVAG"
"405";"AVAVGDV 22"
"406";"AVBFernwärmeV"
"407";"AVBWasserV"
"408";"AVMedKfAusbV"
"409";"AVorbASchrBek"
"410";"AVV"
"411";"AWaffV"
"412";"AWG"
"413";"AWPädFortbV"
"414";"AWPrV"
"415";"AwSV"
"416";"AWV"
"417";"AWZROV"
"418";"AWZROVAnl"
"419";"AZAV"
"420";"AZG"
"421";"AZRG"
"422";"AZRG-DV"
"423";"AZV"
"424";"BAA-EinfDV-Saar"
"425";"BAAZustV"
"426";"BAB-KAbgV"
"427";"BABauRaumOG"
"428";"BABefugV 2008"
"429";"BABG"
"430";"BABRiGeschwV 1978"
"431";"BABWismarG"
"432";"BadeV"
"433";"BADV"
"434";"BäAusbV 2004"
"435";"BäckMstrV"
"436";"BäderFAngAusbV"
"437";"BäderMeistPrV"
"438";"BÄO"
"439";"BÄOuaÄndG 2004"
"440";"BAFABGebV"
"441";"BAFG"
"442";"BAFinBefugV"
"443";"BaFinHwgebV"
"444";"BAFlSBAÜbnG"
"445";"BAföG"
"446";"BAföG-AuslandszuschlagsV"
"447";"BAföG-EinkommensV"
"448";"BAfög-FachlehrerV"
"449";"BAföG-MedPflegbV"
"450";"BAföG-TeilerlaßV"
"451";"BAföGZustV 2004"
"452";"BAFzAZustAnO"
"453";"BahnG"
"454";"BahnVorschrAnwG"
"455";"BAIUDBwOWiZustV"
"456";"BAKredSitzBek"
"457";"BAKredWWSUBefÜV"
"458";"BaktWaffVernÜbk"
"459";"BaktWaffVernÜbkG"
"460";"BALMÜV"
"461";"BAMBGebV"
"462";"BankFachwPrV"
"463";"BankkflAusbV"
"464";"BAPauschV"
"465";"BApO"
"466";"BAPostG"
"467";"BArchBV"
"468";"BArchG"
"469";"BargeldPrüfV"
"470";"BArtSchV"
"471";"BASIG"
"472";"BaslÜbk"
"473";"BaslÜbkG"
"474";"BASPOErmV"
"475";"BAStrlSchG"
"476";"BattG"
"477";"BATZV"
"478";"BauBetrTrSchallWdkanalVbg"
"479";"BaubetrV 1980"
"480";"BauFordSiG"
"481";"BauGB"
"482";"BaugeräteFAusbV 1997"
"483";"BauMaschMeistPrV"
"484";"BaumeisterVAblV"
"485";"BauNVO"
"486";"BauPG"
"487";"BauPGHeizkesselV"
"488";"BauPGPÜZAnerkV"
"489";"BAusfAmtG"
"490";"BauSparkG"
"491";"BausparkV"
"492";"BauSparVetrAbwV"
"493";"BauSparVetrAbwV 2"
"494";"BaustellV"
"495";"BauStiftG"
